Instrument,Yearly Return
AN8068571086,0.017992922718561122
BMG491BT1088,0.06244592074786523
KYG367381053,0.06418707773903609
LR0008862868,0.2883441169710188
PA1436583006,0.11284393170649851
SG9999000020,0.2379405181535003
US0003602069,0.2557473609377779
US0003611052,0.1753455136986125
US00081T1088,0.0034293271505501707
US0009571003,0.08367556052690704
US0010551028,0.12862738174719318
US0010841023,0.10010334578063022
US00130H1059,0.05148280744165844
US0017441017,0.1748054239148556
US00206R1023,0.026682679945978317
US0024741045,0.14914021892517934
US0028241000,0.1323570487380646
US0028962076,0.1698870703919197
US0042391096,0.03994768359791432
US0044981019,0.15392017498282107
US00508Y1029,0.19037698049006513
US00724F1012,0.21274298889033794
US00766T1007,0.17309553761123392
US0079031078,0.4231190446543924
US0079731008,0.27706080109546793
US0082521081,0.10418196996256354
US00846U1016,0.1429696005720012
US0084921008,0.09614688718008436
US00912X3026,0.12565155354149654
US0091581068,0.10253160798724612
US00971T1016,0.1023474775211448
US0113111076,0.17386362830146845
US0116591092,0.13174550544061397
US0123481089,0.11391016847940985
US0126531013,0.10872801213280794
US0147521092,-0.015572700451613134
US0162551016,0.2310439798568673
US01741R1023,0.18530010881805067
US01748X1028,0.11175186619600636
US0185223007,0.05332364682803328
US0185811082,0.07947364525492646
US0188021085,0.09830733316009344
US0200021014,0.15667111537063141
US02043Q1076,0.4095383203838916
US02079K3059,0.2452624226916602
US02209S1033,0.07349968201810972
US0231351067,0.2793582970588503
US0236081024,0.09867082062432778
US02361E1082,0.24501929398139796
US0240131047,0.02619540985423703
US0240611030,0.08207608999389429
US0255371017,0.09717099443201277
US02553E1064,0.09576265722494838
US0258161092,0.17362086128901416
US0268747849,0.12314340212709186
US02913V1035,0.12003903425894766
US0298991011,0.12006824041389921
US03027X1000,0.09729426280225303
US0303711081,0.009949815406582923
US0304201033,0.11404333405019626
US03073E1055,0.1812146305681755
US03076C1062,0.19370869476479946
US0311001004,0.15788654521332526
US0311621009,0.13338771319849335
US0316521006,0.2526461950739778
US0320951017,0.24357169323216737
US0326541051,0.16083073785062213
US0341641035,0.09669230582113028
US0352551081,0.0935446024874484
US0367521038,0.14940301382148818
US0378331005,0.2418719201598315
US03820C1053,0.17295875904195862
US0382221051,0.27201301265608674
US0383361039,0.07123535349089963
US03937C1053,0.2256254057457326
US0394831020,0.0830633831341695
US03957W1062,0.24553364500755154
